id,text,is_gaming_related,main_category,detailed_category
1,The Commander Shepard boss fight in Animal Crossing: New Horizons is so difficult,True,discuss_reference,game_discussion
2,When is Starfield getting its next update?,True,discuss_reference,game_discussion
3,The graphics in Assassin's Creed Mirage are absolutely stunning,True,discuss_reference,game_discussion
4,Is Horizon Forbidden West worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
5,Looking for people to play Resident Evil 4 Remake with this weekend,True,discuss_reference,game_discussion
6,The Master Chief boss fight in Spider-Man 2 is so difficult,True,discuss_reference,game_discussion
7,The graphics in Mortal Kombat 1 are absolutely stunning,True,discuss_reference,game_discussion
8,I can't believe The Legend of Zelda: Tears of the Kingdom ended like that! What did you think?,True,discuss_reference,game_discussion
9,Looking for people to play Hogwarts Legacy with this weekend,True,discuss_reference,game_discussion
10,Looking for people to play Mortal Kombat 1 with this weekend,True,discuss_reference,game_discussion
11,When is Apex Legends getting its next update?,True,discuss_reference,game_discussion
12,Has anyone completed the main story in Diablo IV?,True,discuss_reference,game_discussion
13,Just reached level 50 in Hades II!,True,discuss_reference,game_discussion
14,Has anyone completed the main story in Call of Duty: Modern Warfare III?,True,discuss_reference,game_discussion
15,Has anyone completed the main story in Doom Eternal?,True,discuss_reference,game_discussion
16,What's your favorite quest in Diablo IV?,True,discuss_reference,game_discussion
17,The Mario boss fight in Baldur's Gate 3 is so difficult,True,discuss_reference,game_discussion
18,Has anyone completed the main story in Resident Evil 4 Remake?,True,discuss_reference,game_discussion
19,Just reached level 50 in Diablo IV!,True,discuss_reference,game_discussion
20,The graphics in God of War Ragnarök are absolutely stunning,True,discuss_reference,game_discussion
21,I can't believe Street Fighter 6 ended like that! What did you think?,True,discuss_reference,game_discussion
22,Is The Last of Us Part I worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
23,Is League of Legends worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
24,Has anyone completed the main story in Mortal Kombat 1?,True,discuss_reference,game_discussion
25,Looking for people to play Hades II with this weekend,True,discuss_reference,game_discussion
26,The graphics in Hogwarts Legacy are absolutely stunning,True,discuss_reference,game_discussion
27,Looking for people to play Starfield with this weekend,True,discuss_reference,game_discussion
28,The Agent 47 boss fight in Cyberpunk 2077 is so difficult,True,discuss_reference,game_discussion
29,Has anyone completed the main story in Starfield?,True,discuss_reference,game_discussion
30,Is Diablo IV worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
31,The graphics in Street Fighter 6 are absolutely stunning,True,discuss_reference,game_discussion
32,Has anyone completed the main story in Cyberpunk 2077?,True,discuss_reference,game_discussion
33,Has anyone completed the main story in League of Legends?,True,discuss_reference,game_discussion
34,What's your favorite quest in Doom Eternal?,True,discuss_reference,game_discussion
35,When is Cyberpunk 2077 getting its next update?,True,discuss_reference,game_discussion
36,When is Spider-Man 2 getting its next update?,True,discuss_reference,game_discussion
37,Just started playing Minecraft and I'm loving it so far!,True,discuss_reference,game_discussion
38,Just reached level 50 in Among Us!,True,discuss_reference,game_discussion
39,The Ellie boss fight in The Legend of Zelda: Tears of the Kingdom is so difficult,True,discuss_reference,game_discussion
40,When is The Legend of Zelda: Tears of the Kingdom getting its next update?,True,discuss_reference,game_discussion
41,I can't believe Apex Legends ended like that! What did you think?,True,discuss_reference,game_discussion
42,The graphics in Starfield are absolutely stunning,True,discuss_reference,game_discussion
43,When is Spider-Man 2 getting its next update?,True,discuss_reference,game_discussion
44,The Master Chief boss fight in Resident Evil 4 Remake is so difficult,True,discuss_reference,game_discussion
45,The graphics in Resident Evil 4 Remake are absolutely stunning,True,discuss_reference,game_discussion
46,Is Animal Crossing: New Horizons worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
47,Just started playing Minecraft and I'm loving it so far!,True,discuss_reference,game_discussion
48,I can't believe Animal Crossing: New Horizons ended like that! What did you think?,True,discuss_reference,game_discussion
49,The Nathan Drake boss fight in Hades II is so difficult,True,discuss_reference,game_discussion
50,Just started playing Alan Wake 2 and I'm loving it so far!,True,discuss_reference,game_discussion
51,What's your favorite quest in Mortal Kombat 1?,True,discuss_reference,game_discussion
52,The graphics in Cyberpunk 2077 are absolutely stunning,True,discuss_reference,game_discussion
53,Just started playing Doom Eternal and I'm loving it so far!,True,discuss_reference,game_discussion
54,Is Resident Evil 4 Remake worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
55,Is Apex Legends worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
56,Just started playing Valorant and I'm loving it so far!,True,discuss_reference,game_discussion
57,Is Red Dead Redemption 2 worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
58,The Aloy boss fight in Minecraft is so difficult,True,discuss_reference,game_discussion
59,Just started playing The Legend of Zelda: Tears of the Kingdom and I'm loving it so far!,True,discuss_reference,game_discussion
60,The graphics in Baldur's Gate 3 are absolutely stunning,True,discuss_reference,game_discussion
61,Has anyone completed the main story in Genshin Impact?,True,discuss_reference,game_discussion
62,The Geralt of Rivia boss fight in Starfield is so difficult,True,discuss_reference,game_discussion
63,The Gordon Freeman boss fight in Mortal Kombat 1 is so difficult,True,discuss_reference,game_discussion
64,What's your favorite quest in League of Legends?,True,discuss_reference,game_discussion
65,Looking for people to play Mortal Kombat 1 with this weekend,True,discuss_reference,game_discussion
66,Looking for people to play Resident Evil 4 Remake with this weekend,True,discuss_reference,game_discussion
67,When is Alan Wake 2 getting its next update?,True,discuss_reference,game_discussion
68,When is Red Dead Redemption 2 getting its next update?,True,discuss_reference,game_discussion
69,The Arthur Morgan boss fight in Horizon Forbidden West is so difficult,True,discuss_reference,game_discussion
70,The graphics in Diablo IV are absolutely stunning,True,discuss_reference,game_discussion
71,Has anyone completed the main story in Red Dead Redemption 2?,True,discuss_reference,game_discussion
72,The Ellie boss fight in Alan Wake 2 is so difficult,True,discuss_reference,game_discussion
73,Just started playing Valorant and I'm loving it so far!,True,discuss_reference,game_discussion
74,Looking for people to play Cyberpunk 2077 with this weekend,True,discuss_reference,game_discussion
75,Just started playing Doom Eternal and I'm loving it so far!,True,discuss_reference,game_discussion
76,The graphics in Cyberpunk 2077 are absolutely stunning,True,discuss_reference,game_discussion
77,When is Minecraft getting its next update?,True,discuss_reference,game_discussion
78,Has anyone completed the main story in Apex Legends?,True,discuss_reference,game_discussion
79,Looking for people to play Doom Eternal with this weekend,True,discuss_reference,game_discussion
80,Looking for people to play Cyberpunk 2077 with this weekend,True,discuss_reference,game_discussion
81,When is League of Legends getting its next update?,True,discuss_reference,game_discussion
82,I can't believe League of Legends ended like that! What did you think?,True,discuss_reference,game_discussion
83,When is Resident Evil 4 Remake getting its next update?,True,discuss_reference,game_discussion
84,Just started playing League of Legends and I'm loving it so far!,True,discuss_reference,game_discussion
85,Just started playing Among Us and I'm loving it so far!,True,discuss_reference,game_discussion
86,Looking for people to play Call of Duty: Modern Warfare III with this weekend,True,discuss_reference,game_discussion
87,Just started playing Fortnite and I'm loving it so far!,True,discuss_reference,game_discussion
88,Is Starfield worth buying at full price or should I wait for a sale?,True,discuss_reference,game_discussion
89,Has anyone completed the main story in Alan Wake 2?,True,discuss_reference,game_discussion
90,What's your favorite quest in Horizon Forbidden West?,True,discuss_reference,game_discussion
91,Just reached level 50 in The Last of Us Part I!,True,discuss_reference,game_discussion
92,What's your favorite quest in Mortal Kombat 1?,True,discuss_reference,game_discussion
